ISO,Year,Count,Barrier.removal,Climate.strategy,Economic.instruments,Information.and.education,Policy.support,Regulatory.Instruments,RDD,Target,Voluntary.approaches,Market.Instr,Non.Market.Instr,TechSup.Instr,EPS_MKT,EPS_NMKT,TECHSUP,EPS,EPS_MKT_CC,EPS_NMKT_CC,EPS_CC,EPS_MKT_Difference,EPS_NMKT_Difference,TECHSUP_Difference,EPS_Difference,EPS_MKT_CC_Difference,EPS_NMKT_CC_Difference,EPS_CC_Difference,SpatialLag.Count,SpatialLag.Barrier.removal,SpatialLag.Climate.strategy,SpatialLag.Economic.instruments,SpatialLag.Information.and.education,SpatialLag.Policy.support,SpatialLag.Regulatory.Instruments,SpatialLag.RDD,SpatialLag.Target,SpatialLag.Voluntary.approaches,SpatialLag.Market.Instr,SpatialLag.Non.Market.Instr,SpatialLag.TechSup.Instr,SpatialLag.EPS_MKT,SpatialLag.EPS_NMKT,SpatialLag.TECHSUP,SpatialLag.EPS,SpatialLag.EPS_MKT_CC,SpatialLag.EPS_NMKT_CC,SpatialLag.EPS_CC,SpatialLag.EPS_MKT_Difference,SpatialLag.EPS_NMKT_Difference,SpatialLag.TECHSUP_Difference,SpatialLag.EPS_Difference,SpatialLag.EPS_MKT_CC_Difference,SpatialLag.EPS_NMKT_CC_Difference,SpatialLag.EPS_CC_Difference
ARG,1995,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.6536565924812319,0.,0.,0.4004678606601684,0.6738140372799076,0.00005636642969137607,0.2981961855556461,0.,0.,0.6356032729326678,0.13420700347814452,1.308564608831374,0.,0.5207689403231223,1.1607586093630506,0.8141379683405818,0.8310351320330646,0.6174319583433518,0.9840875086791105,0.8059587094691412,0.,0.,0.,0.,0.,0.,0.
AUS,1995,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0.17,0,0,0.17,NA,NA,NA,NA,NA,NA,NA,1.1712208628559222,0.,0.,0.3137367408399954,0.5986746307595924,0.000011438576784997715,0.31808168915459417,0.,0.,0.29652789450801903,0.07793789055366862,0.874571791756962,0.,0.6807874373871252,1.3233107571245715,1.5057135590310862,1.169923755381642,0.8028213803373871,1.756816627561272,1.3543963187411163,0.,0.,0.,0.,0.,0.,0.
BRA,1995,2,0,0,0,1,0,0,0,0,1,0,2,0,0.17,0.5,0,0.22,0.2,0,0.07,NA,NA,NA,NA,NA,NA,NA,1.33424921825962,0.,0.,0.5086159152796003,0.5061252626499436,0.0021539020023630734,0.42960211202787985,0.,0.,0.418085156084175,0.13750640943865186,0.8887517244345968,0.,0.5695526623641409,1.273129202574818,1.114916369762814,0.9860904395426096,0.6775956689434861,1.403256477410821,1.0644798523659211,0.,0.,0.,0.,0.,0.,0.
CAN,1995,0,0,0,0,0,0,0,0,0,0,0,0,0,0.67,0,1.5,0.72,0.8,0,0.77,NA,NA,NA,NA,NA,NA,NA,1.80430806472005,0.,0.,0.0895821203292245,0.8899807426499566,0.0002878838267583391,0.8373302087525624,0.,0.,0.8396389888672607,0.02186315391472874,0.9672819375183012,0.,0.5381365112077637,1.6507776202916047,1.4493891143562674,1.2128381919288374,0.6418937420679371,1.162101926180644,1.0817533858554902,0.,0.,0.,0.,0.,0.,0.
CHN,1995,0,0,0,0,0,0,0,0,0,0,0,0,0,0.17,0,0,0.06,0,0,0,NA,NA,NA,NA,NA,NA,NA,1.3706224958018258,0.,0.,0.3985203891166929,0.6761507080251223,0.000016669537367142,0.3711069242154775,0.,0.,0.370996546914406,0.10198748772243706,0.9945661422850811,0.,0.6851031545222754,1.371035873170259,1.6286131515231472,1.2281158295123706,0.821792019094344,1.8476636178126842,1.4319368415472766,0.,0.,0.,0.,0.,0.,0.
DEU,1995,5,0,0,4,1,0,1,0,0,1,1,4,0,1,2.5,1,1.5,1.2,5,2.4,NA,NA,NA,NA,NA,NA,NA,0.7021132246894763,0.,0.,0.29566140264084717,0.22246395223205992,0.00004201813965758113,0.16767237579518346,0.,0.,0.14845092769121063,0.065810850135084,0.5041669408845677,0.,0.8356334238399233,1.314398289175043,1.2440025922705353,1.1320150565151206,0.9951854425284136,1.0265314197874242,1.0889434453415212,0.,0.,0.,0.,0.,0.,0.
ESP,1995,1,0,0,1,0,0,0,0,0,0,1,0,0,0.83,1.5,1,1.11,1,1,1,NA,NA,NA,NA,NA,NA,NA,1.6296830895793808,0.,0.,1.182795081629052,0.3442357266997899,0.000807198562739402,0.3132439034429046,0.,0.,0.31318036279171757,0.22444633017116733,1.3303574347664648,0.,0.9160255423139056,1.599962043334174,1.1842991809682186,1.2339447986140823,1.093748752018023,1.8887727206156228,1.3892667441801474,0.,0.,0.,0.,0.,0.,0.
FRA,1995,1,0,0,1,0,0,0,0,0,0,0,1,0,1.17,1.5,1.5,1.39,1.4,1,1.3,NA,NA,NA,NA,NA,NA,NA,1.9858755032597502,0.,0.,1.3941760252605158,0.4670268423264152,0.0004103624669182259,0.43576509662307383,0.,0.,0.4289849012568568,0.4356674779673192,1.4491363612807842,0.,0.8494062234098548,1.7082398312303613,1.0992971863824539,1.2196105417466643,1.0154602354132056,2.2766748019941563,1.464180627190883,0.,0.,0.,0.,0.,0.,0.
GBR,1995,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1.5,0.5,1,1.2,1,0.9,NA,NA,NA,NA,NA,NA,NA,1.9995974535371972,0.,0.,1.2258569769098446,0.5338709598688595,0.0003272003050126263,0.478672828561176,0.,0.,0.45888025029255075,0.3067553528420644,1.490511897388294,0.,0.8140687614110769,1.6249143513261046,1.3156772680629274,1.2518981671771685,0.9728793369712485,2.0425297195996532,1.4435586283334128,0.,0.,0.,0.,0.,0.,0.
IDN,1995,2,0,0,0,2,2,0,0,0,0,0,2,0,0,0.75,0,0.25,0,1,0.33,NA,NA,NA,NA,NA,NA,NA,1.365055628780845,0.,0.,0.18335091082153185,0.6340441876437212,0.,0.4750552982904782,0.,0.,0.5578638692075938,0.07300307696787749,0.8288064808079334,0.,0.5885641493095287,1.4147645103135102,1.2320501580135699,1.0778644445533812,0.7055535364775478,1.1671864291340805,1.0335020718473054,0.,0.,0.,0.,0.,0.,0.
IND,1995,1,0,0,0,0,0,1,0,0,0,0,1,0,0.33,2,0,0.78,0.4,1,0.47,NA,NA,NA,NA,NA,NA,NA,1.339116078414903,0.,0.,0.5944564152066064,0.49892170177343914,0.000026409592150932913,0.3645266016160418,0.,0.,0.36948072157627565,0.15036099567023323,0.9626453655022547,0.,0.6643942861831011,1.3220034225436308,1.1757816432288712,1.0544085552060758,0.7902050474954601,1.5815801093765334,1.1822191692699138,0.,0.,0.,0.,0.,0.,0.
ITA,1995,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1.5,1.75,1.42,1.2,1,1.32,NA,NA,NA,NA,NA,NA,NA,2.1360309266747253,0.,0.,1.5242354388669244,0.4633832537391163,0.00006710548716721468,0.436211435244516,0.,0.,0.4273640931938439,0.38210153184281187,1.6537428466619661,0.,0.8571855796244015,1.628215330809175,1.0562509769891548,1.1806292517064423,1.0227061458629714,2.174406645920456,1.417727885730384,0.,0.,0.,0.,0.,0.,0.
JPN,1995,1,0,0,0,1,0,0,0,0,0,0,1,0,1,1.25,3,1.75,1.2,3,2.4,NA,NA,NA,NA,NA,NA,NA,1.3091309054445335,0.,0.,0.3490694163259716,0.5113826503910762,0.00030594340792108,0.5131044833714076,0.,0.,0.5110767069831551,0.08714516622045657,0.8021135240330783,0.,0.4571098667093608,1.2434129707679058,0.8990071179755393,0.8667067404007476,0.5230538882646483,1.067836186564105,0.8286519844005533,0.,0.,0.,0.,0.,0.,0.
KOR,1995,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0.33,0,1,0.33,NA,NA,NA,NA,NA,NA,NA,1.3078609637827214,0.,0.,0.3109039334994608,0.6679593399864951,0.0005968729112886524,0.3843174434777756,0.,0.,0.38263148032423144,0.07896817204168859,0.9310339974930621,0.,0.6398015504003661,1.2195079048254052,1.5270268148467419,1.1292840524181071,0.747141116492061,1.620767676471274,1.297753372773731,0.,0.,0.,0.,0.,0.,0.
MEX,1995,0,0,0,0,0,0,0,0,0,0,0,0,0,0.33,1.5,0,0.61,0.4,3,1.13,NA,NA,NA,NA,NA,NA,NA,1.8713112114075927,0.,0.,0.1136670770009018,0.9075528438446351,0.0007269514213941249,0.8614833159982609,0.,0.,0.8706624971246044,0.03458656472557546,0.9996095210967889,0.,0.5409442664860127,1.6447919720604143,1.4803845800756459,1.221922684200686,0.6481236542119811,1.1096698058241858,1.0767444035454738,0.,0.,0.,0.,0.,0.,0.
RUS,1995,0,0,0,0,0,0,0,0,0,0,0,0,0,0.17,0,0,0.06,0.2,0,0.07,NA,NA,NA,NA,NA,NA,NA,1.707122982003467,0.,0.,1.0238108174703475,0.4610146244900025,9.690244621594973e-8,0.43593601624974027,0.,0.,0.3610433826565512,0.25694626502791745,1.329188275642899,0.,0.7755358253399864,1.4665176203048131,1.151382897654492,1.1317010007029813,0.9126102481052021,1.936814628181418,1.3337916410041268,0.,0.,0.,0.,0.,0.,0.
