ISO,Year,yrsoffc,eiec,execrlc,gov_left,gov_right,Population,Corruption,GovEffectiveness,GDP_PC,Gini_Coefficient,GHG_Int,GDP_TOT.,Count,Market.Instr,Non.Market.Instr,TechSup.Instr,Barrier.removal,Economic.instruments,Regulatory.Instruments,RDD,EPS,EPS_MKT,EPS_NMKT,TECHSUP,SpatialLag.Count,SpatialLag.Market.Instr,SpatialLag.Non.Market.Instr,SpatialLag.TechSup.Instr,SpatialLag.Barrier.removal,SpatialLag.Economic.instruments,SpatialLag.Regulatory.Instruments,SpatialLag.RDD,SpatialLag.EPS,SpatialLag.EPS_MKT,SpatialLag.EPS_NMKT,SpatialLag.TECHSUP,Count_Difference,Market.Instr_Difference,Non.Market.Instr_Difference,TechSup.Instr_Difference,Barrier.removal_Difference,Economic.instruments_Difference,Regulatory.Instruments_Difference,RDD_Difference,EPS_Difference,EPS_MKT_Difference,EPS_NMKT_Difference,TECHSUP_Difference,SpatialLag.Count_Difference,SpatialLag.Market.Instr_Difference,SpatialLag.Non.Market.Instr_Difference,SpatialLag.TechSup.Instr_Difference,SpatialLag.Barrier.removal_Difference,SpatialLag.Economic.instruments_Difference,SpatialLag.Regulatory.Instruments_Difference,SpatialLag.RDD_Difference,SpatialLag.EPS_Difference,SpatialLag.EPS_MKT_Difference,SpatialLag.EPS_NMKT_Difference,SpatialLag.TECHSUP_Difference
AUS,1996,5,7,Left,1,0,18224767,1.877355814,1.800564528,42352.9667,0.45617573,0.795310253,5.53066E+14,0,0,0,0,0,0,0,0,0.16666667,0,0,0.5,1.426254356,0.050523017,0.199203937,1.176527402,0,1.2833646,0.408233546,0.26534379,1.172001832,0.57295181,1.642215227,1.300838458,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
BRA,1996,2,7,Left,1,0,164202549,-0.018579531,-0.143133715,17106.0785,0.685692091,0.453212919,1.64E+12,1,0,0,1,0,1,0,0,0.22222222,0.16666667,0.5,0,1.751415481,0.095353212,0.153389956,1.502672313,0,1.708263698,0.48057671,0.437424927,1.086578009,0.589307798,1.51533595,1.155090243,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CAN,1996,3,7,Left,1,0,29610218,2.031407595,1.742363691,40652.2629,0.484024147,0.617962518,8.78679E+14,1,0,0,1,0,1,0,0,0.5,0.5,0,1,3.342944685,0.013988487,0.030116652,3.298839546,0,3.329128559,0.837413636,0.82359751,1.092152629,0.533776826,1.700076502,1.042604404,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CHE,1996,2,7,-999,0,0,7071850,1.986975789,1.757080555,59586.0772,0.395014189,0.142513473,3.22934E+14,1,1,0,0,0,1,0,0,2.3333333,1,3.25,2.75,1.251537776,0.124404485,0.348282823,0.778850468,0,1.220296757,0.461125674,0.429884655,1.278311394,0.779628121,1.704462065,1.350844032,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CHL,1996,3,7,Left,1,0,14734046,1.454118729,1.337976933,18697.9731,0.724467004,0.398869501,1.71908E+14,0,0,0,0,0,0,0,0,0,0,0,0,1.638242759,0.054918897,0.139722694,1.443601168,0,1.5674682,0.418628506,0.347853947,1.063634894,0.557414334,1.531294756,1.102195556,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CHN,1996,7,3,Left,1,0,1217550000,-0.271189511,-0.348653883,4421.3302,0.471341095,1.61975385,3.62E+12,0,0,0,0,0,0,0,0,0.055555556,0.16666667,0,0,1.658884955,0.041904659,0.187272931,1.429707365,0,1.547340733,0.446589722,0.335045501,1.242169327,0.584019561,1.675849114,1.466639297,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
DEU,1996,14,7,Right,0,1,81914831,1.905216813,1.724676728,42257.1967,0.438756936,0.351067241,2.72E+12,1,0,1,0,0,1,1,1,1.6944444,0.83333331,2.5,1.75,1.0722921,0.205573079,0.026647233,0.840071788,0,1.045644867,0.133332083,0.10668485,1.109380717,0.759521128,1.348289472,1.220331556,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
ESP,1996,14,7,Left,1,0,39889852,1.129211187,1.620027184,31473.1074,0.45860479,0.272589694,9.62028E+14,0,0,0,0,0,0,0,0,1.1111112,0.83333331,1.5,1,1.230135825,0.155730102,0.221585897,0.852819825,0,1.214113326,0.289922031,0.273899532,1.279362355,0.859533453,1.60761345,1.370940203,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
FRA,1996,1,7,Right,0,1,59754504,1.247409225,1.2518574,41898.0361,0.441019394,0.260300687,1.90E+12,2,0,0,2,0,2,0,0,1.4722222,1.1666666,1.5,1.75,0.881307506,0.196152766,0.276314107,0.408840633,0,0.866519994,0.36701789,0.352230378,1.241910268,0.770543777,1.681282048,1.273904995,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
GBR,1996,6,7,Right,0,1,58166950,1.980518937,1.882196069,33136.2156,0.474747403,0.384470114,1.44E+12,0,0,0,0,0,0,0,0,1,1,1.5,0.5,1.40421609,0.113741446,0.22389918,1.066575464,0,1.373079361,0.396300933,0.365164204,1.207420228,0.73331767,1.55420602,1.334736992,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
