ISO,Year,yrsoffc,eiec,execrlc,gov_left,gov_right,Population,Corruption,GovEffectiveness,GDP_PC,Gini_Coefficient,GHG_Int,GDP_TOT.,Count,Market.Instr,Non.Market.Instr,TechSup.Instr,EPS,EPS_MKT,EPS_NMKT,TECHSUP,EPS_CC,EPS_MKT_CC,EPS_NMKT_CC,SpatialLag.Count,SpatialLag.Market.Instr,SpatialLag.Non.Market.Instr,SpatialLag.TechSup.Instr,SpatialLag.EPS,SpatialLag.EPS_MKT,SpatialLag.EPS_NMKT,SpatialLag.TECHSUP,SpatialLag.EPS_CC,SpatialLag.EPS_MKT_CC,SpatialLag.EPS_NMKT_CC
AUS,1996,5,7,Left,1,0,18224767,1.877355814,1.800564528,42352.9667,0.45617573,0.795310253,5.53066E+14,0,0,0,0,0.16666667,0,0,0.5,0.166666667,0,0,1.426254356,0.050523017,0.199203937,1.176527402,1.172001832,0.57295181,1.642215227,1.300838458,1.215532593,0.672916786,1.672842535
AUS,1997,1,7,Right,0,1,18423037,1.837742746,1.709341288,43333.9762,0.454557425,0.785531729,5.73944E+14,1,0,1,0,0.16666667,0,0,0.5,0.166666667,0,0,1.104861619,0,0.450763092,0.654098527,1.178414504,0.577717789,1.691139817,1.266385896,1.258243103,0.678080457,1.830262956
AUS,1998,2,7,Right,0,1,18607584,1.798129678,1.618118048,44763.1718,0.462037633,0.783801012,6.00425E+14,3,0,2,1,0.5,0,1,0.5,0.166666667,0,0,0.480085041,0,0.148137964,0.331947077,1.266637236,0.699914207,1.826913394,1.27308404,1.306101462,0.817275612,1.827944733
AUS,1999,3,7,Right,0,1,18812264,1.830109,1.675144136,46371.4243,0.465039527,0.757036763,6.30E+11,4,0,1,3,0.5,0,1,0.5,0.166666667,0,0,2.240588921,0.371716522,0.661839358,1.207033041,1.389420401,0.653547695,2.232382737,1.282330774,1.385031778,0.759794059,2.1129705
AUS,2000,4,7,Right,0,1,19028802,1.862088323,1.732170224,47599.1157,0.467678413,0.740741881,6.55424E+14,10,1,2,7,0.83333331,1,1,0.5,0.566666667,1.2,0,2.254316174,0.057518177,0.793062443,1.403735555,1.436597348,0.623571795,2.474919904,1.211300371,1.391100803,0.72187261,2.240129427
AUS,2001,5,7,Right,0,1,19274701,1.811762333,1.695684433,47755.4421,0.460669079,0.739108968,6.67357E+14,3,1,2,0,0.8888889,1.1666666,1,0.5,0.633333333,1.4,0,2.184618897,0.275665178,0.375776011,1.533177708,1.423913104,0.620368141,2.456996305,1.194374897,1.386962322,0.715396007,2.251116063
AUS,2002,6,7,Right,0,1,19495210,1.761436343,1.659198642,48876.8996,0.475081851,0.721780716,6.9301E+14,2,0,1,1,1.1388888,1.1666666,1.75,0.5,1.3,1.4,2,3.893279569,0.855630344,0.95809767,2.079551554,1.502861804,0.72746966,2.53310015,1.248015656,1.406059212,0.734551563,2.235610417
AUS,2003,7,7,Right,0,1,19720737,1.895287037,1.773278832,49573.3743,0.470088953,0.68871938,7.13396E+14,3,0,0,3,1.1388888,1.1666666,1.75,0.5,1.3,1.4,2,1.888097489,0.416980605,0.519998322,0.951118561,1.647468614,0.791065809,2.778360059,1.372980002,1.637767596,0.809038739,2.731284046
AUS,2004,8,7,Right,0,1,19932722,2.005868912,1.98494184,50819.2597,0.474483348,0.685351641,7.41484E+14,3,0,1,2,1.4722222,1.1666666,1.75,1.5,1.633333333,1.4,2,2.836343098,0.707985586,1.154170666,0.974186846,1.803166274,0.953276369,2.988093137,1.468129411,1.692301184,0.734748051,2.87402609
AUS,2005,9,7,Right,0,1,20176844,1.942667723,1.74618125,51719.2706,0.481334433,0.669177137,7.66E+11,1,0,0,1,1.8055556,1.1666666,3.25,1,1.466666667,1.4,2,3.705712086,1.070186853,1.077521798,1.558003435,1.89378529,0.979599028,3.198863423,1.502893503,1.814563249,0.755592612,3.185203631
AUS,2006,10,7,Right,0,1,20450966,1.950813174,1.707899332,52281.9132,0.482279336,0.656327441,7.87151E+14,5,2,1,2,2.2222223,1.1666666,4.5,1,2.8,1.4,6,6.770364196,0.173590116,3.168781686,3.427992394,1.985657936,0.959335122,3.407740931,1.589897722,1.920051258,0.741183912,3.42907214
AUS,2007,11,7,Right,0,1,20827622,2.00087285,1.818955183,53190.3831,0.480976623,0.641707831,8.17007E+14,4,0,2,2,2.2222223,1.1666666,4.5,1,2.8,1.4,6,4.871102866,0.355623738,2.866858957,1.648620171,1.96740766,0.858957771,3.481030985,1.562234203,1.876801813,0.631132484,3.437038753
AUS,2008,1,7,Left,1,0,21249199,2.027342558,1.784767866,54042.7589,0.487615126,0.61762754,8.48509E+14,6,0,1,5,2.3611112,1.3333334,4.5,1.25,2.95,1.6,6,6.005012444,0.415757091,2.128487982,3.460767371,2.047934469,1.008387067,3.483348072,1.652068311,1.955292096,0.782052471,3.431755505
AUS,2009,2,7,Left,1,0,21691653,2.041763067,1.701963782,53526.5226,0.488097205,0.615568382,8.60234E+14,13,1,0,12,2.5277777,1.3333334,4.75,1.5,3.033333333,1.6,6,7.689818542,0.268338521,2.400976423,5.020503598,2.139223405,1.056695756,3.457139574,1.903834848,2.049761304,0.864472305,3.380976759
AUS,2010,3,7,Left,1,0,22031750,2.02361083,1.763391376,53740.0301,0.486551874,0.607534024,8.79885E+14,5,1,2,2,2.8333333,1.5,4.75,2.25,3.35,1.8,6,5.098581486,0.620618761,1.907036495,2.57092623,2.245957318,0.982832365,3.721967308,2.033072341,2.039293536,0.756217031,3.328591235
AUS,2011,1,7,Left,1,0,22340024,2.037909031,1.690138102,53710.3999,0.486307641,0.597195114,8.94437E+14,9,2,2,5,3,1.5,4.75,2.75,3.516666667,1.8,6,1.975059887,0.258849067,0.696728067,1.019482753,2.351933987,0.964031289,3.691348543,2.40042214,2.138529882,0.736677571,3.278489935
AUS,2012,2,7,Left,1,0,22733465,1.977507234,1.613148451,54710.8793,0.487257052,0.577178306,9.28E+11,10,3,1,6,3.4166667,2,4.75,3.5,3.966666667,2.4,6,7.597407463,1.301872667,1.585369571,4.710165225,2.778333537,0.972609445,4.681633276,2.680757921,2.721725212,0.746315811,4.738101905
AUS,2013,3,7,Left,1,0,23128129,1.777833104,1.632453084,55198.6668,0.487535528,0.552283469,9.53825E+14,0,0,0,0,3.5277777,1.8333334,4.75,4,4.066666667,2.2,6,5.056155524,0.100163563,1.93843443,3.017557531,2.766501195,1.005555394,4.765043384,2.528904904,2.720662869,0.794767369,4.838316334
AUS,2014,1,7,Right,0,1,23475686,1.849272132,1.600894928,55624.2167,0.488030596,0.527900846,9.77777E+14,2,2,0,0,2.6944444,1.3333334,4.75,2,3.2,1.6,6,3.754688504,0.091410358,1.349343404,2.313934742,2.84395249,1.317295744,4.752014356,2.462547372,2.770056549,1.016261121,4.831361154
AUS,2015,2,7,Right,0,1,23815995,1.841308117,1.533252478,54669.5766,0.489320847,0.523931055,9.77E+11,2,0,1,1,2.6944444,1.3333334,4.75,2,3.2,1.6,6,3.306024454,0.3487538,1.296991324,1.660279329,2.86322102,1.478069758,4.757230278,2.354363223,2.812204068,1.230067403,4.852181578
AUS,2016,1,7,Right,0,1,24190907,1.772251964,1.532188416,54090.205,0.483001971,0.510417903,9.82646E+14,3,0,2,1,2.6944444,1.3333334,4.75,2,3.2,1.6,6,3.46715849,0.02304158,1.743351154,1.700765755,2.95395034,1.421452868,5.119655756,2.320742588,2.97408566,1.259694384,5.341820007
AUS,2017,2,7,Right,0,1,24592588,1.752974749,1.498386025,54378.0005,0.487506096,0.504927055,1.01E+12,2,0,2,0,2.75,1.5,4.75,2,3.266666667,1.8,6,3.459584292,0.826815462,1.682689075,0.950079754,2.971678959,1.457503643,5.129316667,2.328216707,2.957060271,1.190323643,5.352640464
AUS,2018,3,7,Right,0,1,24963258,1.767454863,1.555989981,54992.9095,0.479780415,0.488098389,1.03E+12,1,0,1,0,2.8611112,1.8333334,4.75,2,3.4,2.2,6,2.982308951,0.101672627,2.044191129,0.836445195,2.980101059,1.446008922,5.227193376,2.267100765,2.96635019,1.255795726,5.376154079
AUS,2019,1,7,Right,0,1,25334826,1.788073659,1.538690805,55221.681,0.48174985,0.476329915,1.06E+12,7,0,4,3,2.8611112,1.8333334,4.75,2,3.4,2.2,6,3.082298532,0.591966111,2.013768949,0.476563472,3.063207779,1.502362561,5.350680076,2.33658082,3.039555861,1.332709487,5.449377276
AUS,2020,2,7,Right,0,1,25649248,1.632980585,1.573353291,54208.2059,0.481749838,0.458047058,1.05E+12,0,0,0,0,2.9166667,2,4.75,2,3.466666667,2.4,6,4.183818094,0.641158328,2.098857748,1.443802019,3.179530155,1.665056325,5.367224897,2.506309388,3.154960041,1.464444534,5.494126201
BRA,1996,2,7,Left,1,0,164202549,-0.018579531,-0.143133715,17106.0785,0.685692091,0.453212919,1.64E+12,1,0,0,1,0.22222222,0.16666667,0.5,0,0.066666667,0.2,0,1.751415481,0.095353212,0.153389956,1.502672313,1.086578009,0.589307798,1.51533595,1.155090243,1.138494404,0.700114512,1.560278456
BRA,1997,3,7,Left,1,0,166661659,0.011447897,-0.172352418,17262.272,0.685692091,0.452712196,1.69E+12,2,0,1,1,0.22222222,0.16666667,0.5,0,0.066666667,0.2,0,0.5601955,0,0.287138915,0.273056585,1.07868821,0.594722959,1.58525202,1.056089587,1.147094174,0.707179624,1.678013311
BRA,1998,4,7,Left,1,0,169159655,0.041475326,-0.201571122,16905.2386,0.685692091,0.460444086,1.70E+12,1,0,1,0,0.22222222,0.16666667,0.5,0,0.066666667,0.2,0,0.785777895,0,0.315778017,0.469999878,1.199167615,0.798874054,1.699551518,1.099077244,1.254163818,0.937193089,1.726221122
