ISO,Year,yrsoffc,eiec,gov_left,gov_right,Population,Corruption,GovEffectiveness,GDP_PC,Gini_Coefficient,GHG_Int,GDP_TOT.,Count,Market.Instr,Non.Market.Instr,TechSup.Instr,Barrier.removal,Economic.instruments,Regulatory.Instruments,RDD,EPS,EPS_MKT,EPS_NMKT,TECHSUP,SpatialLag.Count,SpatialLag.Market.Instr,SpatialLag.Non.Market.Instr,SpatialLag.TechSup.Instr,SpatialLag.Barrier.removal,SpatialLag.Economic.instruments,SpatialLag.Regulatory.Instruments,SpatialLag.RDD,SpatialLag.EPS,SpatialLag.EPS_MKT,SpatialLag.EPS_NMKT,SpatialLag.TECHSUP,Count_Difference,Market.Instr_Difference,Non.Market.Instr_Difference,TechSup.Instr_Difference,Barrier.removal_Difference,Economic.instruments_Difference,Regulatory.Instruments_Difference,RDD_Difference,EPS_Difference,EPS_MKT_Difference,EPS_NMKT_Difference,TECHSUP_Difference,SpatialLag.Count_Difference,SpatialLag.Market.Instr_Difference,SpatialLag.Non.Market.Instr_Difference,SpatialLag.TechSup.Instr_Difference,SpatialLag.Barrier.removal_Difference,SpatialLag.Economic.instruments_Difference,SpatialLag.Regulatory.Instruments_Difference,SpatialLag.RDD_Difference,SpatialLag.EPS_Difference,SpatialLag.EPS_MKT_Difference,SpatialLag.EPS_NMKT_Difference,SpatialLag.TECHSUP_Difference
AUS,1996,5,7,1,0,18224767,1.877355814,1.800564528,42352.9667,0.45617573,0.795310253,5.53066E+14,0,0,0,0,0,0,0,0,0.16666667,0,0,0.5,1.383642956,0.01230555,0.313679092,1.057658314,0,1.069963864,0.510580226,0.196901135,1.096068527,0.586494959,1.550943839,1.150766763,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
BRA,1996,2,7,1,0,164202549,-0.018579531,-0.143133715,17106.0785,0.685692091,0.453212919,1.64E+12,1,0,0,1,0,1,0,0,0.22222222,0.16666667,0.5,0,1.656842321,0.016373263,0.38083833,1.259630728,0,1.276003991,0.670744505,0.289906175,0.957409478,0.618182222,1.358569025,0.895477123,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CAN,1996,3,7,1,0,29610218,2.031407595,1.742363691,40652.2629,0.484024147,0.617962518,8.78679E+14,1,0,0,1,0,1,0,0,0.5,0.5,0,1,3.289008312,0.004223792,0.071942649,3.212841872,0,3.217065664,0.863286161,0.791343513,1.069526827,0.538805165,1.670369827,0.999405334,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CHE,1996,2,7,0,0,7071850,1.986975789,1.757080555,59586.0772,0.395014189,0.142513473,3.22934E+14,1,1,0,0,0,1,0,0,2.3333333,1,3.25,2.75,1.120615762,0,0.681159095,0.439456667,0,0.439456667,0.777856496,0.096697401,0.943473722,0.778142709,1.294001902,0.758276516,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CHL,1996,3,7,1,0,14734046,1.454118729,1.337976933,18697.9731,0.724467004,0.398869501,1.71908E+14,0,0,0,0,0,0,0,0,0,0,0,0,1.592097001,0.007914302,0.309238624,1.274944074,0,1.282858376,0.570437124,0.261198499,0.972561831,0.57214281,1.424072931,0.921469702,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CHN,1996,7,3,1,0,1217550000,-0.271189511,-0.348653883,4421.3302,0.471341095,1.61975385,3.62E+12,0,0,0,0,0,0,0,0,0.055555556,0.16666667,0,0,1.599719019,0.008500833,0.31071475,1.280503436,0,1.289004268,0.554776892,0.244062142,1.146932487,0.597326997,1.559796892,1.283673544,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
EUE,1996,2,6.997660541,1,0,404286130,0.834031274,1.013809249,34490.4,0.488884546,0.357906825,1.26692E+13,1,0,1,0,0,0,1,0,0.990842327,0.90453072,1.332628104,0.735368121,0.930444803,0.087543988,0.039631632,0.803269183,0,0.890813171,0.212069115,0.172437483,0.941700935,0.635482944,1.281713949,0.907905895,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
GBR,1996,6,7,0,1,58166950,1.980518937,1.882196069,33136.2156,0.474747403,0.384470114,1.44E+12,0,0,0,0,0,0,0,0,1,1,1.5,0.5,1.239420069,0.023617934,0.621656778,0.594145356,0,0.61776329,0.753015885,0.131359107,0.968185737,0.75277193,1.294351753,0.857433486,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
IDN,1996,29,2,0,0,203204348,-0.864106297,-0.705335677,5577.7761,0.59960502,0.450214788,6.39505E+14,0,0,0,0,0,0,0,0,0.25,0,0.75,0,1.298327388,0.007371624,0.319840128,0.971115635,0,0.978487259,0.480122611,0.160282483,1.140612874,0.600337668,1.499742285,1.321758661,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
IND,1996,5,7,1,0,979678458,-0.381090343,-0.111606687,3086.7113,0.493778894,0.792220843,1.62E+12,1,0,1,0,0,0,1,0,0.77777779,0.33333334,2,0,1.317067342,0.030495539,0.358965138,0.927606665,0,0.958102205,0.560051998,0.20108686,0.971825915,0.6352325,1.36025653,0.919988676,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
